x,Curve1
0,0
11.5385,0.0606401
13.8462,0.207075
18,0.44146
21.6923,1.14291
25.8462,2.72036
28.6154,3.97637
31.3846,5.1156
37.3846,6.43063
40.6154,7.42396
43.8462,7.83335
47.0769,7.77559
50.3077,7.30906
56.7692,5.20813
60.9231,3.74908
66.9231,2.232
70.6154,1.5028
76.6154,1.00761
87.2308,0.279753
94.1538,0.193509
99.6923,0.252981
112.615,0.664256
118.615,0.665424
126,0.374891
136.154,0.055699
150,-1.77636e-15
